"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","EG_WEB_DEFROST_LABEL_EN","EG_WEB_DEFROST_LABEL_FR","EG_WEB_FREEZER_LOC_LABEL_EN","EG_WEB_FREEZER_LOC_LABEL_FR","TOTAL_VOL_LIT","TOTAL_VOL_CUB","SIZE_CATEGORY","EG_WEB_TTD_ICE_LABEL_EN","EG_WEB_TTD_ICE_LABEL_FR","FRESH_VOL_LIT","FRESH_VOL_CUB","FREEZER_VOL_LIT","FREEZER_VOL_CUB"
185918,"FR-091","Daewoo",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",78,2.7,1,"No","Non",78,2.7,0,0
185920,"FR-142","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",125,4.4,1,"No","Non",125,4.4,0,0
186938,"FR-2701","Daewoo",356,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",229,8.1,3,"No","Non",176,6.2,54,1.9
187662,"18DYW","Avanti",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48,1.7,0,"No","Non",48,1.7,0,0
187663,"271YW","Avanti",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76,2.7,1,"No","Non",76,2.7,0,0
187664,"442YW","Avanti",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",125,4.4,1,"No","Non",125,4.4,0,0
187665,"443YB","Avanti",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",125,4.4,1,"No","Non",125,4.4,0,0
187666,"FR-062R","Daewoo",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48,1.7,0,"No","Non",48,1.7,0,0
187667,"FR-092R","Daewoo",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76,2.7,1,"No","Non",76,2.7,0,0
187669,"FR-143R","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",125,4.4,1,"No","Non",125,4.4,0,0
187670,"FR-143RV","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",125,4.4,1,"No","Non",125,4.4,0,0
189869,"FR-143RVSS","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.595,4.4,1,"No","Non",124.595,4.4,0,0
189870,"FR-2701SS","Daewoo",356,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",229.368,8.1,3,"No","Non",175.565,6.2,53.802,1.9
216736,"ATB1504ARW","Amana",447,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
216737,"CTB1502ARQ","Magic Chef",447,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
216738,"CTB1502ARW","Magic Chef",447,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
216739,"MTB1502ARQ","Maytag",447,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
216740,"MTB1502ARW","Maytag",447,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
216741,"MTB1504ARQ","Maytag",447,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
216742,"MTB1504ARW","Maytag",447,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
218355,"424*","Sub-Zero",416,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",157.159,5.55,2,"-","-",157.159,5.55,0,0
218356,"427*","Sub-Zero",529,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",442.876,15.64,7,"-","-",442.876,15.64,0,0
219380,"GC-151***","Goldstar",338,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124,4.4,1,"No","Non",124.028,4.38,0,0
220793,"MTB1504ARS","Maytag",447,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
220794,"ATB1504ARS","Amana",447,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222012,"CTN1502AEW","Magic Chef",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222013,"CTL1502AEW","Magic Chef",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222014,"MTB1502AEW","Maytag",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222015,"MTB1502AEQ","Maytag",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222016,"MTB1502AES","Maytag",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222017,"MTB1504AEW","Maytag",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222018,"MTB1504AEQ","Maytag",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222019,"MTB1504AES","Maytag",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222020,"ATB1502AEW","Amana",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222021,"ATB1502AEQ","Amana",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222022,"ATB1504AES","Amana",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222023,"ATB1504AEW","Amana",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222024,"ATB1504AEQ","Amana",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222105,"FR-063","Daewoo",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48.2,1.7,0,"No","Non",48.2,1.7,0,0
222106,"FR-063R","Daewoo",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48.2,1.7,0,"No","Non",48.2,1.7,0,0
222107,"FR-063RSS","Daewoo",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48.2,1.7,0,"No","Non",48.2,1.7,0,0
222108,"FR-064","Daewoo",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48.2,1.7,0,"No","Non",48.2,1.7,0,0
222109,"FR-064R","Daewoo",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48.2,1.7,0,"No","Non",48.2,1.7,0,0
222110,"FR-064RSS","Daewoo",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48.2,1.7,0,"No","Non",48.2,1.7,0,0
222111,"FR-093","Daewoo",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76.5,2.7,1,"No","Non",76.5,2.7,0,0
222112,"FR-093R","Daewoo",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76.5,2.7,1,"No","Non",76.5,2.7,0,0
222113,"FR-093RSS","Daewoo",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76.5,2.7,1,"No","Non",76.5,2.7,0,0
222114,"FR-094","Daewoo",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76.5,2.7,1,"No","Non",76.5,2.7,0,0
222115,"FR-094R","Daewoo",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76.5,2.7,1,"No","Non",76.5,2.7,0,0
222116,"FR-094RSS","Daewoo",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76.5,2.7,1,"No","Non",76.5,2.7,0,0
222117,"FR-146","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222118,"FR-146R","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222119,"FR-146RSS","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222120,"FR-146RV","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222121,"FR-146RVSS","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222122,"FR-147","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222123,"FR-147R","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222124,"FR-147RSS","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222125,"FR-147RV","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222126,"FR-147RVSS","Daewoo",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222127,"FR-2705","Daewoo",356,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",229.5,8.1,3,"No","Non",175.6,6.2,53.9,1.9
222128,"PCF-1700ACW","Maytag",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48.2,1.7,0,"No","Non",48.2,1.7,0,0
222129,"PCF-2700ACW","Maytag",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76.5,2.7,1,"No","Non",76.5,2.7,0,0
222130,"PCF-4400ACW","Maytag",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222131,"PCF-4400ACB","Maytag",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
222132,"PCF-8200ACW","Maytag",356,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",229.5,8.1,3,"No","Non",175.6,6.2,53.9,1.9
222147,"MTN1502AEW","Maytag",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
222148,"MTL1502AEW","Maytag",380,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",425.4,15.02,7,"No","Non",305.2,10.78,120.2,4.24
223387,"ATB1830ARW","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223388,"ATB1830ARQ","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223389,"ATB1832ARW","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223390,"ATB1832ARQ","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223391,"ATB1832ARU","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223392,"ATB1836ARW","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223393,"ATB1836ARQ","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223394,"ATB1836ARB","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223395,"ATB1836ARS","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223396,"ATF1836ARW","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223397,"ATF1836ARQ","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223398,"ATF1836ARB","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223399,"ATF1836ARS","Amana",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223400,"CTB1821ARW","Magic Chef",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223401,"CTB1821ARQ","Magic Chef",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223402,"CTF1826ARW","Magic Chef",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223403,"CTF1826ARQ","Magic Chef",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223404,"CTF1826ARB","Magic Chef",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223405,"CTF1826ARU","Magic Chef",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223406,"MTB1891ARW","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223407,"MTB1891ARQ","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223408,"MTB1893ARW","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223409,"MTB1893ARQ","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223410,"MTB1893ARB","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223411,"MTB1893ARS","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223412,"MTF1893ARW","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223413,"MTF1893ARQ","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223414,"MTF1893ARB","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223415,"MTF1893ARS","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223416,"ATB1838AEW","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223417,"ATB1838AEQ","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223418,"ATB1838AEB","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223419,"ATB1838AES","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223420,"ATF1838AEW","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223421,"ATF1838AEQ","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223422,"ATF1838AEB","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223423,"ATF1838AES","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223424,"CTN1821AEW","Magic Chef",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223425,"CTL1821AEW","Magic Chef",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223426,"MTB1895AEW","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223427,"MTB1895AEQ","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223428,"MTB1895AEB","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223429,"MTB1895AES","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223430,"MTF1895AEW","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223431,"MTF1895AEQ","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223432,"MTF1895AEB","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
223433,"MTF1895AES","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226982,"PTB1830ARW","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226983,"MTB189AARW","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226984,"MTB189BARW","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226985,"MTB1894ARW","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226986,"MTB1894ARB","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226987,"MTB1894ARS","Maytag",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226988,"MTB1896AEW","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226989,"MTB1896AEQ","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226990,"MTB1896AEB","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226991,"MTB1896AES","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226992,"MTF1896AEW","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226993,"MTF1896AEQ","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226994,"MTF1896AEB","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
226995,"MTF1896AES","Amana",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227000,"427R*","Sub-Zero",554,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",419.316,14.808,7,"-","-",419.316,14.81,0,0
227537,"CTB1826ARW","Magic Chef",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227538,"CTB1826ARU","Magic Chef",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227539,"MTF1896AEB","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227540,"MTF1896AEQ","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227541,"MTF1896AES","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227542,"MTF1896AEW","Maytag",409,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227543,"PCF-1700ACW","Maytag Performa",295,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",48.2,1.7,0,"No","Non",48.2,1.7,0,0
227544,"PCF-2700ACW","Maytag Performa",318,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76.5,2.7,1,"No","Non",76.5,2.7,0,0
227545,"PCF-4400ACB","Maytag Performa",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
227546,"PCF-4400ACW","Maytag Performa",336,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",124.5,4.4,1,"No","Non",124.5,4.4,0,0
227547,"PCF-8200ACW","Maytag Performa",356,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",229.5,8.1,3,"No","Non",175.6,6.2,53.9,1.9
227548,"PTB1830ARW","Maytag Performa",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227549,"PTB1826ARW","Maytag Performa",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227550,"PTB1821ARW","Maytag Performa",480,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",513.6,18.14,8,"No","Non",369,13.03,144.6,5.11
227590,"ATB2130ARW","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227591,"ATB2130ARQ","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227592,"ATB2132ARW","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227593,"ATB2132ARQ","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227594,"ATB2132ARU","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227595,"ATB2136ARW","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227596,"ATB2136ARQ","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227597,"ATB2136ARB","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227598,"ATB2136ARS","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227599,"ATF2136ARW","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227600,"ATF2136ARQ","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227601,"ATF2136ARB","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227602,"ATF2136ARS","Amana",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227603,"CTB2121ARW","Magic Chef",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
227604,"CTB2121ARQ","Magic Chef",515,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.7,21.03,10,"No","Non",426.9,15.07,168.8,5.96
